name,description,
Familiar,Destroy 1 random card in your hand{ add 3 random Enhanced face cards to your hand,
Grim,Destroy 1 random card in your hand{ add 2 random Enhanced Aces to your hand,
Incantation,Destroy 1 random card in your hand{ add 4 random Enhanced numbered cards to your hand,
Talisman,Add a Gold Seal to 1 selected card in your hand,
Aura,Add Foil{ Holographic{ or Polychrome effect to 1 selected card in hand,
Wraith,Creates a random Rare Joker{ sets money to $0,
Sigil,Converts all cards in hand to a single random suit,
Ouija,Converts all cards in hand to a single random rank -1 hand size,
Ectoplasm,Add Negative to a random Joker{ -1 hand size,
Immolate,Destroys 5 random cards in hand{ gain $20,
Ankh,Create a copy of a random Joker{ destroy all other Jokers (Removes Negative from copy),
Deja Vu,Add a Red Seal to 1 selected card in your hand,
Hex,Add Polychrome to a random Joker{ destroy all other Jokers,
Trance,Add a Blue Seal to 1 selected card in your hand,
Medium,Add a Purple Seal to 1 selected card in your hand,
Cryptid,Create 2 copies of 1 selected card in your hand,
The Soul,Creates a Legendary Joker (Must have room),
Black Hole,Upgrade every poker hand by 1 level,
